site_id, easting, northing, longitude, latitude
0,1744943.6309,5887252.5261,174.63216741953036,-37.1498915252675
1,1757653.423,5779043.3988,174.79858168522003,-38.12269758694565
2,1716231.4746,5647165.3769,174.34830712713557,-39.31711382623912
3,1634585.7869,5434697.887,173.4127286015543,-41.238379503771434
4,1570490.0409,5201830.8738,172.63596321719461,-43.335789878785285
5,1451312.5356,5122007.1873,171.14420622859316,-44.04002716741803
6,1593589.3277,6170137.8477,172.93007698158436,-34.610586114620794
7,1618212.1121,6131296.4686,173.1994857119837,-34.96070456564204
8,1663930.025,6112740.335,173.70166303697093,-35.12616495424658
9,1633415.8049,6134785.6212,173.36587669397755,-34.92885400665737
10,1616679.0969,6109745.7863,173.18312733568834,-35.155060153553336
11,1613848.9125,6108453.7029,173.15207525439297,-35.166754070476046
12,1624073.0782,6115410.0109,173.26414356681786,-35.10383507823785
13,1623547.1775,6113964.7644,173.258414273102,-35.11687956857409
14,1627740.808,6113217.072,173.30446106825838,-35.12351476625546
15,1642075.7155,6123161.7462,173.46128087147116,-35.033346037865634
16,1646333.0499,6127202.1539,173.5077277354581,-34.99672702472506
17,1625280.607,6101033.7772,173.27783370851182,-35.23343719787443
18,1640435.107,6114566.4403,173.44371450095835,-35.11091749365479
19,1652673.7045,6124785.8636,173.57736014382306,-35.01820417823289
20,1659987.6977,6119942.4029,173.6578749072962,-35.06146879202057
21,1630741.3421,6086035.6426,173.33840888193876,-35.36852028546559
22,1642157.0139,6094688.2858,173.46362676169994,-35.290085148845954
23,1677725.5277,6119873.5084,173.85239218980215,-35.060879047330204
24,1667701.795,6109614.4515,173.7433132088315,-35.15410268330815
25,1656175.3038,6094801.7893,173.61777980277984,-35.288372615043464
26,1643950.0263,6074947.5063,173.48440772057526,-35.46800176143606
27,1681068.2714,6106745.1479,173.89033423090635,-35.17898348540546
28,1671911.4607,6094885.3508,173.79081550961973,-35.2866116363181
29,1690546.5754,6110261.6049,173.9940308682283,-35.14646983425636
30,1683366.7965,6103889.4579,173.91586392190192,-35.204542212195484
31,1682176.1994,6098662.8779,173.90330769705673,-35.251763165794976
32,1657103.1515,6072747.7433,173.62952632494788,-35.48716637807608
33,1687602.173,6103459.2335,173.96243364768065,-35.20806019533511
34,1646328.0221,6062372.6586,173.51133527324833,-35.58127231346423
35,1686540.0071,6101582.4648,173.95096303677872,-35.225073094334284
36,1687214.5279,6099974.7427,173.95854473209673,-35.23950959287112
37,1678147.0303,6089444.3537,173.8599009597646,-35.33519973501945
38,1691120.7998,6095545.367,174.00196293009137,-35.27909579208942
39,1673606.6772,6080121.5461,173.81078562978132,-35.419598954453065
40,1672426.8609,6081426.0369,173.7976750366008,-35.4079242785737
41,1689193.5445,6087203.2572,173.98168220273993,-35.35447893181697
42,1695892.1769,6095438.206,174.0544337247479,-35.27961600892847
43,1702290.2857,6097927.7147,174.12446566202217,-35.256538712061925
44,1698818.891,6094997.8413,174.08666393695276,-35.2833013020263
45,1672999.1369,6065978.4634,173.8053651732425,-35.54715529673149
46,1691057.0936,6075408.796,174.0035072771877,-35.46064296625258
47,1705670.4017,6094536.9559,174.16205272614863,-35.286756042515144
48,1700184.3713,6092159.4497,174.10202387282803,-35.3087545252805
49,1712011.0886,6091292.1479,174.2322104562981,-35.315317777383854
50,1692860.5542,6083721.5652,174.0224322527176,-35.385533425046695
51,1697141.4498,6084114.975,174.06951266160362,-35.38157867632494
52,1703541.3244,6073319.2776,174.1413347275217,-35.47825777129869
53,1690731.8138,6054072.7206,174.00231488913494,-35.65302233147549
54,1721322.9349,6071828.6214,174.33751963666714,-35.48968232482168
55,1727990.179,6072316.976,174.41092604092367,-35.48444328169512
56,1710082.4378,6051188.7296,174.21643637065787,-35.677051253440126
57,1716603.2055,6060265.288,174.2871638094882,-35.59448377960782
58,1716506.5798,6056387.9034,174.28665706855688,-35.62944687355103
59,1704387.9338,6041826.6372,174.15473974264114,-35.76206539620729
60,1717209.4232,6051872.6511,174.295074126303,-35.67006494458266
61,1733896.5121,6059638.6161,174.47811252553564,-35.59794257909055
62,1727000.4181,6054324.32,174.4028425676645,-35.646754200555314
63,1718531.5391,6051033.3098,174.30980272328785,-35.677472835263025
64,1717178.6147,6049644.8047,174.29505829854702,-35.69015067064626
65,1718050.2643,6050382.7205,174.30458122507113,-35.6833950329629
66,1717223.7723,6047974.5275,174.2958008606132,-35.705201324525035
67,1719725.1743,6050642.4906,174.32304771378708,-35.68085148575827
68,1713475.9417,6043447.6824,174.2550210732632,-35.74644601586439
69,1719222.6563,6049268.4497,174.31769955371422,-35.69329801471775
70,1720484.3525,6049109.489,174.33166482513943,-35.69457744171732
71,1718898.2617,6047225.0618,174.31441738985117,-35.7117563287785
72,1723143.963,6048029.3603,174.3612185691001,-35.703984806847856
73,1719803.5168,6048016.5517,174.3243045453854,-35.7045121609818
74,1716685.2053,6044390.8327,174.29036970947973,-35.73756894464797
75,1718435.6415,6045536.2593,174.30955344183852,-35.72703494421705
76,1719767.9468,6045487.5972,174.32428861593075,-35.727312372736215
77,1721158.6053,6045615.0512,174.3396423112038,-35.725993322991094
78,1717540.8004,6042818.2825,174.3000596744641,-35.75164207602188
79,1718367.1099,6043895.6652,174.30903789548864,-35.741831476875745
80,1719371.8299,6044486.2052,174.32005871665788,-35.73638698707415
81,1736427.8621,6056163.3743,174.50663548186134,-35.62892038179764
82,1716274.8297,6038889.2416,174.28663097892888,-35.787208995612644
83,1709737.6904,6026916.2924,174.21595603599462,-35.895887124498444
84,1720319.5108,6043043.7674,174.3307524081002,-35.74927354161415
85,1733273.5183,6046305.004,174.47344364960668,-35.71820887435198
86,1723782.3578,6043299.086,174.3690029549923,-35.74654244153119
87,1723128.3883,6043070.6559,174.3618071242817,-35.74868353876037
88,1723256.6714,6041128.3527,174.36352430266555,-35.76617490457531
89,1727488.8405,6037119.7174,174.41096858452886,-35.80176703905474
90,1729105.8189,6041732.7854,174.42811536600104,-35.75997598496099
91,1724998.7222,6024728.3635,174.38535902414552,-35.91377698270026
92,1731844.8079,6033890.7361,174.45969670921687,-35.83029539826071
93,1731529.2858,6028528.0079,174.45708880453316,-35.87867333160233
94,1742003.288,6032639.7969,174.57235040801194,-35.84015148152531
95,1730708.774,6011384.0859,174.45082529063606,-36.03330341717698
96,1673589.0725,6022547.0232,173.8158585869606,-35.938664266171344
97,1687643.7884,6029262.1446,173.9709203792327,-35.87696880606259
98,1678042.8385,6022449.1499,173.86524077495605,-35.93920086043277
99,1703222.8992,6006039.0097,174.1465019276709,-36.08478727416526
100,1718473.8413,6002749.8031,174.31635176527035,-36.112694201324075
101,1721231.792,6003063.692,174.34693924507678,-36.109524456571414
102,1727616.8959,5992773.1529,174.4195325771877,-36.201453999896636
103,1739096.6986,6001925.2778,174.54556656971988,-36.11738889531251
104,1742603.4082,6004417.2839,174.58406688944802,-36.094421149305596
105,1742858.0897,6002575.3779,174.58722891347878,-36.11098357028452
106,1741437.1299,6001331.6499,174.5716700781206,-36.122400596991184
107,1725816.4334,5978147.9183,174.4018652171012,-36.33350471506007
108,1718879.4299,5964937.0747,174.32661337512837,-36.45345467063908
109,1746120.2889,5986613.6032,174.62643239589218,-36.254346018993694
110,1736627.7344,5982495.5829,174.52152774537674,-36.29284887929023
111,1794260.8637,5984891.7748,175.16240066411092,-36.26137520525541
112,1717391.0573,5949413.2093,174.3123695304,-36.593551373581214
113,1733398.3309,5963612.3974,174.48881590113038,-36.46348252075476
114,1748437.1357,5976335.737,174.6541662376123,-36.34661398129525
115,1715555.2575,5915112.7661,174.29704438338294,-36.902908498342235
116,1748126.9632,5971645.1085,174.65160439500127,-36.38893200482646
117,1745568.7392,5962856.384,174.6247408053325,-36.46852400950383
118,1749558.8867,5969805.406,174.66791844445032,-36.40528870985349
119,1752321.5028,5970589.6059,174.6985618723727,-36.397787790587884
120,1758936.2038,5974504.1203,174.77149187144832,-36.36144228222399
121,1732695.9458,5948106.7389,174.48364656392533,-36.603318786941976
122,1754665.1604,5968056.0847,174.72519061652045,-36.42024344798667
123,1814680.0944,5991421.1182,175.38773648707027,-36.19823668245753
124,1756458.1529,5963931.5447,174.74601459632274,-36.4571194422226
125,1780637.6575,5955099.8064,175.01777178682494,-36.53243869694823
126,1743389.0347,5950476.8153,174.60272121635415,-36.58041266610974
127,1728343.4571,5942145.9004,174.43599288913921,-36.657634624905384
128,1731428.7295,5938750.8155,174.47108525768445,-36.68780982038428
129,1729946.4216,5940198.2722,174.45425299080347,-36.6749691450097
130,1741630.941,5944187.8987,174.584236067653,-36.63734824556557
131,1735379.8151,5936238.3126,174.5157406090856,-36.70989727933196
132,1749935.0561,5950289.3841,174.67589772549528,-36.5810955809344
133,1751160.7669,5951497.0809,174.6893555803436,-36.57001947233421
134,1750189.926,5949184.1472,174.67896117078007,-36.59101498655473
135,1751583.1509,5949575.9,174.6944525897832,-36.587264482968266
136,1749571.3754,5948031.2862,174.67227334332628,-36.601500830437885
137,1728939.5364,5928405.5627,174.44497828697723,-36.781381772445634
138,1749344.7985,5946837.8912,174.66997297173387,-36.612290251257406
139,1747831.0474,5943266.3706,174.65374029325616,-36.64471002758286
140,1744668.3715,5940402.4904,174.6189137506198,-36.67100328467434
141,1750836.3368,5947502.7499,174.6865143462806,-36.60606427059459
142,1740591.9481,5935628.647,174.57418923681251,-36.71463402255835
143,1749764.939,5945528.634,174.6749244177075,-36.624022239522596
144,1751626.2572,5946911.1117,174.69545974684397,-36.611270258887814
145,1752480.2102,5947489.6155,174.70488991571148,-36.60592112613233
146,1750901.8885,5944109.1117,174.68791374476535,-36.63663425624394
147,1731986.2694,5928814.4072,174.47904089625195,-36.77727776872909
148,1767629.9992,5941414.027,174.87552875887684,-36.65811989005686
149,1753632.5079,5946132.6535,174.71803989515533,-36.61796366136343
150,1727461.1603,5923560.6885,174.42922667096272,-36.825243456682436
151,1754497.1115,5945479.3219,174.72783601755623,-36.623710985585745
152,1735738.1878,5927299.4284,174.52134161102464,-36.790400014586154
153,1752809.4319,5940692.8635,174.7099227218442,-36.66711367372013
154,1754985.2045,5944038.4467,174.73358327362283,-36.636615230812126
155,1737695.409,5929533.7243,174.54286708809497,-36.76998312837754
156,1755731.2799,5944833.8599,174.74176363056074,-36.629326202226544
157,1756493.5402,5944774.3972,174.75029759346612,-36.62973708539518
158,1730231.2859,5921162.3342,174.46069012755618,-36.846479434171734
159,1758911.7906,5946183.0699,174.7770412790768,-36.61664367230357
160,1746755.0419,5934629.1031,174.64336328082223,-36.72270861180351
161,1750005.0678,5937580.8267,174.67916407448493,-36.69560269793269
162,1760455.5092,5946947.5526,174.79413674476058,-36.60949658001347
163,1757468.8429,5944351.1789,174.76128799527532,-36.63338985915148
164,1741361.9016,5930792.5256,174.5837024926178,-36.75809984220993
165,1763069.3753,5947386.4881,174.82325732707673,-36.605098028682235
166,1740512.833,5928755.669,174.57456882621761,-36.77658092698195
167,1760623.0476,5945766.4291,174.79625616398525,-36.62011096516381
168,1744236.2145,5931081.2486,174.61583784479947,-36.75506519421052
169,1738618.1888,5923785.702,174.5542497094219,-36.82164642981325
170,1754833.1604,5938175.9602,174.73306752139882,-36.689465711780855
171,1748207.0337,5931595.3496,174.66020525684698,-36.74982031168422
172,1751287.9078,5935076.6012,174.69401392833774,-36.71796472305003
