WKT,SA22020_V1_00,SA22020_V1_00_NAME,SA22020_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,SHAPE_X,SHAPE_Y
POINT (174.63216741953036 -37.1498915252675),149900,Āwhitu,Awhitu,221.56033348,221.56033348,-37.14989152530447,174.63216741906962,1744943.6308590064,5887252.526096568,1744943.6309,5887252.5261
POINT (174.79858168522003 -38.12269758694565),186900,Inlet Waitomo District,Inlet Waitomo District,0.0,13.3877205421,-38.12269758657564,174.79858168515844,1757653.4229953878,5779043.398841077,1757653.423,5779043.3988
POINT (174.34830712713557 -39.31711382623912),220000,Toko,Toko,228.43123513,228.43123513,-39.31711382584514,174.34830712752964,1716231.4746346257,5647165.376943218,1716231.4746,5647165.3769
POINT (173.4127286015543 -41.23837950377144),303600,Nelson Rural,Nelson Rural,366.392669216,366.392669216,-41.23837950338239,173.4127286021134,1634585.7869470532,5434697.887042976,1634585.7869,5434697.887
POINT (172.6359632171946 -43.335789878785285),315200,Tuahiwi,Tuahiwi,22.7050069767,22.7050069767,-43.33578987892147,172.6359632169883,1570490.0408833404,5201830.873784813,1570490.0409,5201830.8738
POINT (171.14420622859316 -44.04002716741803),338700,Arundel,Arundel,629.208255581,629.208255581,-44.04002716768434,171.14420622842647,1451312.535587309,5122007.187270002,1451312.5356,5122007.1873
POINT (172.93007698158436 -34.610586114620794),100100,North Cape,North Cape,1911.96066743,1911.96066743,-34.61058611439833,172.93007698138385,1593589.327681598,6170137.847724665,1593589.3277,6170137.8477
POINT (173.1994857119837 -34.96070456564204),100200,Rangaunu Harbour,Rangaunu Harbour,293.939381128,293.939381128,-34.96070456556915,173.1994857123885,1618212.112136975,6131296.468608019,1618212.1121,6131296.4686
POINT (173.70166303697093 -35.12616495424658),100300,Inlets Far North District,Inlets Far North District,0.0,626.029068353,-35.12616495396144,173.70166303729408,1663930.0250296665,6112740.335031424,1663930.025,6112740.335
POINT (173.36587669397755 -34.92885400665737),100400,Karikari Peninsula,Karikari Peninsula,227.648856955,227.648856955,-34.9288540069341,173.365876694089,1633415.8049100654,6134785.621169284,1633415.8049,6134785.6212
POINT (173.18312733568834 -35.155060153553336),100500,Tangonge,Tangonge,177.0984453,177.0984453,-35.15506015363183,173.18312733612854,1616679.0969400755,6109745.786291231,1616679.0969,6109745.7863
POINT (173.15207525439297 -35.166754070476046),100600,Ahipara,Ahipara,4.52919467273,4.52919467273,-35.16675407013365,173.1520752544218,1613848.9125026844,6108453.702937975,1613848.9125,6108453.7029
POINT (173.26414356681786 -35.10383507823785),100700,Kaitaia East,Kaitaia East,5.26649160164,5.26649160164,-35.10383507849416,173.26414356662002,1624073.078181893,6115410.010871631,1624073.0782,6115410.0109
POINT (173.258414273102 -35.11687956857409),100800,Kaitaia West,Kaitaia West,3.21183996689,3.21183996689,-35.116879568583485,173.25841427324514,1623547.177513041,6113964.764398933,1623547.1775,6113964.7644
POINT (173.30446106825838 -35.12351476625546),100900,Rangitihi,Rangitihi,84.633144769,84.633144769,-35.12351476606431,173.30446106786013,1627740.8079637794,6113217.072021317,1627740.808,6113217.072
POINT (173.46128087147116 -35.033346037865634),101000,Oruru-Parapara,Oruru-Parapara,141.218540353,141.218540353,-35.03334603811343,173.46128087162813,1642075.7155141926,6123161.746172463,1642075.7155,6123161.7462
POINT (173.5077277354581 -34.99672702472506),101100,Taumarumaru,Taumarumaru,10.2341286457,10.2341286457,-34.996727024558865,173.507727735767,1646333.0499282812,6127202.153918297,1646333.0499,6127202.1539
POINT (173.27783370851182 -35.23343719787443),101200,Herekino-Takahue,Herekino-Takahue,329.894702093,329.894702093,-35.233437198099345,173.27783370862704,1625280.607010414,6101033.777175035,1625280.607,6101033.7772
POINT (173.44371450095835 -35.11091749365479),101300,Peria,Peria,199.606265699,199.606265699,-35.11091749338124,173.4437145011494,1640435.107017544,6114566.440330268,1640435.107,6114566.4403
POINT (173.57736014382306 -35.01820417823289),101400,Taemaro-Oruaiti,Taemaro-Oruaiti,177.674996955,177.674996955,-35.01820417862805,173.57736014384315,1652673.704501578,6124785.863556176,1652673.7045,6124785.8636
POINT (173.6578749072962 -35.06146879202057),101500,Whakapaku,Whakapaku,365.85612006,365.85612006,-35.061468792453574,173.6578749068029,1659987.697654703,6119942.402852285,1659987.6977,6119942.4029
