,Area,ParentArea,Year,TotInd_GeogUnits,Wholesale_GeogUnits,Retail_GeogUnits,TransPostWare_GeogUnits,Perc_affluent,TotPeople,perc_Maori_Pacific,perc_AsiMidELatinAfr,TotLabForce,percUnempLabForce,TotHousehold,MedInc_house,perc_less20k_house,perc_bet20k30k_house,perc_bet30k50k_house,perc_bet50k70k_house,perc_bet70k100k_house,perc_bet100k150k_house,perc_greater150k_house
0,Oceanic Chatham Islands,AreaOutsideRegion,2006,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,Chatham Islands,AreaOutsideRegion,2006,198.0,3.0,6.0,3.0,0.0,612.0,0.6127450980392157,0.004901960784313725,390.0,0.015384615384615385,,,,,,,,,
2,Ross Dependency,AreaOutsideRegion,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,Oceanic Chatham Islands,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Chatham Islands,AreaOutsideRegion,2013,189.0,0.0,6.0,0.0,0.0,600.0,0.565,0.005,369.0,0.024390243902439025,249.0,66300.0,0.08433734939759036,0.10843373493975904,0.12048192771084337,0.10843373493975904,0.14457831325301204,0.13253012048192772,0.10843373493975904
5,Ross Dependency,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Oceanic Chatham Islands,AreaOutsideRegion,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Chatham Islands,AreaOutsideRegion,2018,186.0,3.0,0.0,0.0,0.0,663.0,0.6742081447963801,0.00904977375565611,438.0,0.02054794520547945,276.0,71600.0,0.09782608695652174,0.07608695652173914,0.11956521739130435,0.11956521739130435,0.10869565217391304,0.16304347826086957,0.17391304347826086
8,Ross Dependency,AreaOutsideRegion,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Okahukura Peninsula,AucklandRegion,2006,288.0,9.0,0.0,9.0,0.4872881355932203,1380.0,0.17173913043478262,0.013043478260869565,786.0,0.05343511450381679,,,,,,,,,
10,Inlet Kaipara Harbour South,AucklandRegion,2006,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
11,Cape Rodney,AucklandRegion,2006,606.0,18.0,12.0,12.0,0.4854771784232365,2760.0,0.13043478260869565,0.014130434782608696,1581.0,0.030360531309297913,,,,,,,,,
12,Wellsford,AucklandRegion,2006,288.0,15.0,33.0,12.0,0.46311475409836067,1671.0,0.33213644524236985,0.026929982046678635,789.0,0.053231939163498096,,,,,,,,,
13,Oceanic Auckland Region East,AucklandRegion,2006,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,18.0,0.0,,,,,,,,,
14,South Head,AucklandRegion,2006,351.0,9.0,6.0,0.0,0.515527950310559,1878.0,0.17252396166134185,0.023961661341853034,1107.0,0.032520325203252036,,,,,,,,,
15,Kaipara Hills,AucklandRegion,2006,249.0,3.0,0.0,3.0,0.5720338983050848,1473.0,0.19144602851323828,0.008146639511201629,810.0,0.02962962962962963,,,,,,,,,
16,Dome Valley-Matakana,AucklandRegion,2006,255.0,6.0,9.0,6.0,0.48223350253807107,1122.0,0.0748663101604278,0.0213903743315508,630.0,0.014285714285714285,,,,,,,,,
17,Oceanic Auckland Region West,AucklandRegion,2006,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,,,,,,,,,
18,Warkworth West,AucklandRegion,2006,264.0,12.0,15.0,3.0,0.49557522123893805,1464.0,0.13114754098360656,0.02459016393442623,720.0,0.025,,,,,,,,,
19,Puhoi Valley,AucklandRegion,2006,549.0,9.0,12.0,15.0,0.5628865979381443,2727.0,0.058305830583058306,0.015401540154015401,1599.0,0.0225140712945591,,,,,,,,,
20,Warkworth East,AucklandRegion,2006,423.0,12.0,66.0,3.0,0.5102739726027398,1998.0,0.12312312312312312,0.04504504504504504,942.0,0.03503184713375796,,,,,,,,,
21,Sandspit,AucklandRegion,2006,141.0,6.0,9.0,0.0,0.5586206896551724,801.0,0.033707865168539325,0.018726591760299626,444.0,0.013513513513513514,,,,,,,,,
22,Tawharanui Peninsula,AucklandRegion,2006,279.0,12.0,9.0,3.0,0.5208333333333334,1365.0,0.08351648351648351,0.013186813186813187,777.0,0.023166023166023165,,,,,,,,,
23,Te Kuru,AucklandRegion,2006,324.0,9.0,9.0,0.0,0.6065573770491803,1695.0,0.09380530973451327,0.01592920353982301,1008.0,0.023809523809523808,,,,,,,,,
24,Snells Beach,AucklandRegion,2006,216.0,6.0,21.0,6.0,0.5,2727.0,0.0891089108910891,0.0242024202420242,1311.0,0.04576659038901602,,,,,,,,,
25,Barrier Islands,AucklandRegion,2006,150.0,6.0,12.0,3.0,0.3007518796992481,867.0,0.2179930795847751,0.006920415224913495,480.0,0.06875,,,,,,,,,
26,Algies Bay-Scotts Landing,AucklandRegion,2006,129.0,3.0,6.0,0.0,0.5454545454545454,933.0,0.05787781350482315,0.01607717041800643,432.0,0.034722222222222224,,,,,,,,,
27,Inlets other Auckland,AucklandRegion,2006,21.0,3.0,3.0,0.0,0.0,45.0,0.0,0.0,27.0,0.0,,,,,,,,,
28,Wainui-Waiwera,AucklandRegion,2006,216.0,6.0,6.0,0.0,0.5745614035087719,1326.0,0.07239819004524888,0.02262443438914027,762.0,0.023622047244094488,,,,,,,,,
29,Parakai,AucklandRegion,2006,51.0,3.0,3.0,0.0,0.4818181818181818,831.0,0.2851985559566787,0.02527075812274368,411.0,0.06569343065693431,,,,,,,,,
30,Helensville Rural,AucklandRegion,2006,189.0,3.0,6.0,0.0,0.5871559633027523,1209.0,0.11166253101736973,0.03970223325062035,723.0,0.024896265560165973,,,,,,,,,
31,Helensville,AucklandRegion,2006,270.0,9.0,27.0,15.0,0.5428571428571428,2532.0,0.2476303317535545,0.02132701421800948,1296.0,0.05324074074074074,,,,,,,,,
32,Waitoki,AucklandRegion,2006,198.0,6.0,3.0,9.0,0.6120689655172413,1278.0,0.07511737089201878,0.03051643192488263,771.0,0.019455252918287938,,,,,,,,,
33,Waikoukou Valley,AucklandRegion,2006,246.0,6.0,3.0,3.0,0.6563706563706564,1401.0,0.06852248394004283,0.014989293361884369,852.0,0.017605633802816902,,,,,,,,,
34,Orewa North,AucklandRegion,2006,150.0,6.0,12.0,6.0,0.6470588235294118,1905.0,0.05826771653543307,0.08346456692913386,1011.0,0.04154302670623145,,,,,,,,,
35,Hatfields Beach,AucklandRegion,2006,105.0,6.0,6.0,3.0,0.5846153846153846,1194.0,0.09045226130653267,0.032663316582914576,633.0,0.037914691943127965,,,,,,,,,
36,Orewa South,AucklandRegion,2006,165.0,6.0,6.0,9.0,0.5850746268656717,2796.0,0.048283261802575105,0.0536480686695279,1077.0,0.04178272980501393,,,,,,,,,
37,Orewa Central,AucklandRegion,2006,474.0,9.0,54.0,0.0,0.5811209439528023,2670.0,0.10561797752808989,0.046067415730337076,1089.0,0.046831955922865015,,,,,,,,,
38,Millwater North,AucklandRegion,2006,3.0,0.0,0.0,0.0,0.5555555555555556,42.0,0.07142857142857142,0.0,30.0,0.1,,,,,,,,,
39,Waipatukahu,AucklandRegion,2006,192.0,9.0,3.0,12.0,0.5934579439252337,1188.0,0.14646464646464646,0.012626262626262626,708.0,0.03389830508474576,,,,,,,,,
40,Millwater South,AucklandRegion,2006,30.0,0.0,3.0,0.0,0.7,57.0,0.0,0.0,33.0,0.0,,,,,,,,,
41,Dairy Flat North,AucklandRegion,2006,267.0,12.0,6.0,3.0,0.587360594795539,1452.0,0.05578512396694215,0.04132231404958678,855.0,0.02456140350877193,,,,,,,,,
42,Dairy Flat West,AucklandRegion,2006,231.0,6.0,6.0,9.0,0.6457399103139013,1164.0,0.03350515463917526,0.02577319587628866,705.0,0.029787234042553193,,,,,,,,,
43,Kingsway,AucklandRegion,2006,87.0,6.0,9.0,0.0,0.6475770925110133,1218.0,0.0960591133004926,0.05172413793103448,720.0,0.020833333333333332,,,,,,,,,
44,Riverhead Forest,AucklandRegion,2006,30.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,,,,,,,,,
45,Silverdale Central (Auckland),AucklandRegion,2006,420.0,39.0,66.0,6.0,0.39215686274509803,267.0,0.15730337078651685,0.06741573033707865,174.0,0.034482758620689655,,,,,,,,,
46,Red Beach West,AucklandRegion,2006,159.0,6.0,9.0,6.0,0.5726872246696035,1581.0,0.07969639468690702,0.03795066413662239,732.0,0.028688524590163935,,,,,,,,,
47,Red Beach East,AucklandRegion,2006,372.0,15.0,18.0,9.0,0.6147540983606558,3624.0,0.07533112582781457,0.03145695364238411,2001.0,0.026986506746626688,,,,,,,,,
48,Silverdale South (Auckland),AucklandRegion,2006,198.0,9.0,6.0,0.0,0.6453900709219859,1557.0,0.0789980732177264,0.03468208092485549,903.0,0.029900332225913623,,,,,,,,,
49,Waimauku,AucklandRegion,2006,114.0,6.0,3.0,6.0,0.6179775280898876,1014.0,0.10355029585798817,0.01775147928994083,576.0,0.020833333333333332,,,,,,,,,
50,Gulf Islands,AucklandRegion,2006,27.0,0.0,0.0,0.0,0.42857142857142855,141.0,0.1276595744680851,0.06382978723404255,78.0,0.0,,,,,,,,,
51,Vipond,AucklandRegion,2006,189.0,9.0,6.0,0.0,0.6082474226804123,2466.0,0.11435523114355231,0.029197080291970802,1230.0,0.03170731707317073,,,,,,,,,
52,Muriwai,AucklandRegion,2006,141.0,3.0,9.0,0.0,0.654639175257732,1044.0,0.12643678160919541,0.031609195402298854,666.0,0.03153153153153153,,,,,,,,,
53,Stanmore Bay West,AucklandRegion,2006,180.0,3.0,9.0,6.0,0.5900900900900901,2625.0,0.12228571428571429,0.025142857142857144,1464.0,0.036885245901639344,,,,,,,,,
