,Area,ParentArea,Year,TotInd_GeogUnits,Wholesale_GeogUnits,Retail_GeogUnits,TransPostWare_GeogUnits,Perc_affl_50,Perc_affl_75,TotPeople,perc_Maori_Pacific,perc_AsiMidELatinAfr,TotLabForce,percUnempLabForce,NZDepIndex,NZDepScore
0,Oceanic Chatham Islands,AreaOutsideRegion,2006,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,Chatham Islands,AreaOutsideRegion,2006,198.0,3.0,6.0,3.0,0.628099173553719,0.4297520661157025,612.0,0.6127450980392157,0.004901960784313725,390.0,0.015384615384615384,6.0,986.0
2,Ross Dependency,AreaOutsideRegion,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,Oceanic Chatham Islands,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4,Chatham Islands,AreaOutsideRegion,2013,189.0,0.0,6.0,0.0,0.7652173913043478,0.6,600.0,0.565,0.005,369.0,0.024390243902439025,6.0,994.0
5,Ross Dependency,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
6,Oceanic Chatham Islands,AreaOutsideRegion,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
7,Chatham Islands,AreaOutsideRegion,2018,186.0,3.0,0.0,0.0,0.6453900709219859,0.4326241134751773,663.0,0.6742081447963801,0.00904977375565611,438.0,0.02054794520547945,9.0,1069.0
8,Ross Dependency,AreaOutsideRegion,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
9,Okahukura Peninsula,AucklandRegion,2006,288.0,9.0,0.0,9.0,0.6779661016949152,0.4872881355932203,1380.0,0.17173913043478262,0.013043478260869565,786.0,0.053435114503816786,6.0,988.5
10,Inlet Kaipara Harbour South,AucklandRegion,2006,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
11,Cape Rodney,AucklandRegion,2006,606.0,18.0,12.0,12.0,0.6576763485477178,0.4854771784232365,2760.0,0.13043478260869565,0.014130434782608697,1581.0,0.03036053130929792,5.0,954.0
12,Wellsford,AucklandRegion,2006,288.0,15.0,33.0,12.0,0.7008196721311475,0.4631147540983607,1671.0,0.33213644524236985,0.026929982046678638,789.0,0.053231939163498096,8.0,1039.0
13,Oceanic Auckland Region East,AucklandRegion,2006,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,18.0,0.0,,
14,South Head,AucklandRegion,2006,351.0,9.0,6.0,0.0,0.6832298136645962,0.515527950310559,1878.0,0.17252396166134185,0.023961661341853038,1107.0,0.032520325203252036,5.0,969.0
15,Kaipara Hills,AucklandRegion,2006,249.0,3.0,0.0,3.0,0.7118644067796609,0.5720338983050848,1473.0,0.19144602851323828,0.00814663951120163,810.0,0.02962962962962963,3.0,929.0
16,Dome Valley-Matakana,AucklandRegion,2006,255.0,6.0,9.0,6.0,0.649746192893401,0.4822335025380711,1122.0,0.0748663101604278,0.0213903743315508,630.0,0.014285714285714284,3.0,927.0
17,Oceanic Auckland Region West,AucklandRegion,2006,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,,
18,Warkworth West,AucklandRegion,2006,264.0,12.0,15.0,3.0,0.6814159292035398,0.4955752212389381,1464.0,0.13114754098360654,0.024590163934426233,720.0,0.025,4.0,949.0
19,Puhoi Valley,AucklandRegion,2006,549.0,9.0,12.0,15.0,0.7051546391752578,0.5628865979381443,2727.0,0.05830583058305831,0.0154015401540154,1599.0,0.0225140712945591,3.0,918.0
20,Warkworth East,AucklandRegion,2006,423.0,12.0,66.0,3.0,0.702054794520548,0.5102739726027398,1998.0,0.12312312312312312,0.045045045045045036,942.0,0.03503184713375796,7.0,1003.0
21,Sandspit,AucklandRegion,2006,141.0,6.0,9.0,0.0,0.696551724137931,0.5586206896551724,801.0,0.033707865168539325,0.018726591760299626,444.0,0.013513513513513514,2.0,900.0
22,Tawharanui Peninsula,AucklandRegion,2006,279.0,12.0,9.0,3.0,0.7083333333333334,0.5208333333333334,1365.0,0.08351648351648351,0.013186813186813187,777.0,0.02316602316602316,4.0,953.0
23,Te Kuru,AucklandRegion,2006,324.0,9.0,9.0,0.0,0.7344262295081967,0.6065573770491803,1695.0,0.09380530973451327,0.01592920353982301,1008.0,0.023809523809523808,3.0,922.0
24,Snells Beach,AucklandRegion,2006,216.0,6.0,21.0,6.0,0.6871794871794872,0.5,2727.0,0.0891089108910891,0.0242024202420242,1311.0,0.04576659038901602,6.0,978.0
