,Area,TotHousehold,ParentArea,Year,MedInc_house,perc_less20k_house,perc_bet20k30k_house,perc_bet30k50k_house,perc_bet50k70k_house,perc_bet70k100k_house,perc_bet100k150k_house,perc_greater150k_house
2,Oceanic Three Kings Islands,0.0,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Three Kings Islands,0.0,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Oceanic Chatham Islands,0.0,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chatham Islands,249.0,AreaOutsideRegion,2013,66300.0,0.08433734939759036,0.10843373493975904,0.12048192771084337,0.10843373493975904,0.14457831325301204,0.13253012048192772,0.10843373493975904
6,New Zealand Economic Zone,0.0,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Oceanic Kermadec Islands,0.0,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Kermadec Islands,0.0,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Oceanic Oil Rig Taranaki,0.0,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Oceanic Campbell Island,0.0,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Campbell Island,0.0,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Oceanic Oil Rig Southland,0.0,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Oceanic Auckland Islands,0.0,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Auckland Islands,0.0,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Oceanic Bounty Islands,0.0,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Bounty Islands,0.0,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Oceanic Snares Islands,0.0,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Snares Islands,0.0,AreaOutsideRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
