,Region,Year,Sectors,Centroid_lat,Centroid_lon
0,AreaOutsideRegion,2000,ALL,-43.91736412510103,-176.51508525366287
1,AucklandRegion,2000,ALL,-36.86607569055366,174.77194703637863
2,BayOfPlentyRegion,2000,ALL,-37.85881060595131,176.33079086720142
3,CanterburyRegion,2000,ALL,-43.614255502882145,172.3372250615339
4,GisborneRegion,2000,ALL,-38.54921029438742,177.97126992385782
5,HawkesBayRegion,2000,ALL,-39.58618780641711,176.8248807136684
6,Manawatu-WanganuiRegion,2000,ALL,-40.14207721640224,175.50707963961074
7,MarlboroughRegion,2000,ALL,-41.49928831141259,173.8508173089733
8,NelsonRegion,2000,ALL,-41.28009883195939,173.2758202494688
9,NorthlandRegion,2000,ALL,-35.58589962617065,174.04025161515654
10,OtagoRegion,2000,ALL,-45.59868653681204,170.02025680679256
11,SouthlandRegion,2000,ALL,-46.19059337388193,168.42257814597733
12,TaranakiRegion,2000,ALL,-39.26079089130821,174.19375992027085
13,TasmanRegion,2000,ALL,-41.257468855671604,172.96792604364623
14,WaikatoRegion,2000,ALL,-37.8114687905537,175.46536183023917
15,WellingtonRegion,2000,ALL,-41.18390000963816,174.94409507550805
16,WestCoastRegion,2000,ALL,-42.45610157409064,171.26293380972064
17,AreaOutsideRegion,2000,RETAIL,-43.91736412510104,-176.51508525366285
18,AucklandRegion,2000,RETAIL,-36.871962027904985,174.77593042764366
19,BayOfPlentyRegion,2000,RETAIL,-37.86838356063099,176.3342891498758
20,CanterburyRegion,2000,RETAIL,-43.612184371301915,172.41994601741385
21,GisborneRegion,2000,RETAIL,-38.60988715163251,178.0216449323311
22,HawkesBayRegion,2000,RETAIL,-39.577647019845905,176.86890743107028
23,Manawatu-WanganuiRegion,2000,RETAIL,-40.17020751576656,175.47044249877035
24,MarlboroughRegion,2000,RETAIL,-41.4641711287897,173.93746216344005
25,NelsonRegion,2000,RETAIL,-41.28036378763598,173.27265032859088
26,NorthlandRegion,2000,RETAIL,-35.57543735683732,174.07427223420424
27,OtagoRegion,2000,RETAIL,-45.6058958750837,170.0807638020681
28,SouthlandRegion,2000,RETAIL,-46.26519021901373,168.42212405096166
29,TaranakiRegion,2000,RETAIL,-39.20947297405663,174.1530147496233
30,TasmanRegion,2000,RETAIL,-41.229006575162884,173.05262022711813
31,WaikatoRegion,2000,RETAIL,-37.82565339003522,175.4923272710964
32,WellingtonRegion,2000,RETAIL,-41.1746728946274,174.9452299178751
33,WestCoastRegion,2000,RETAIL,-42.3621127246494,171.2845625570969
34,AreaOutsideRegion,2000,WHOLESALE,,
35,AucklandRegion,2000,WHOLESALE,-36.87274144824636,174.77978550706996
36,BayOfPlentyRegion,2000,WHOLESALE,-37.84589634102824,176.27041949438185
37,CanterburyRegion,2000,WHOLESALE,-43.59278582168721,172.46637674277127
38,GisborneRegion,2000,WHOLESALE,-38.64114427555558,177.98856737725214
39,HawkesBayRegion,2000,WHOLESALE,-39.58320049298211,176.8459744522995
40,Manawatu-WanganuiRegion,2000,WHOLESALE,-40.216114037945175,175.4905236247613
41,MarlboroughRegion,2000,WHOLESALE,-41.481101827926544,173.94796444745683
42,NelsonRegion,2000,WHOLESALE,-41.281916577646534,173.2640155047252
43,NorthlandRegion,2000,WHOLESALE,-35.64219774554788,174.1847557107512
